Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,16,MALAYSIA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,44,CHINA,96,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,20,HONG KONG,21,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,19,NEW ZEALAND,83,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,15,PHILIPPINES,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18,BELGIUM,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18,BELGIUM,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,33,SINGAPORE,48,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,37,UNITED KINGDOM,78,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,JAPAN,100,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,37,VIET NAM,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,AUSTRALIA,98,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,11,HONG KONG,28,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,THAILAND,34,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,21,HONG KONG,108,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,26,THAILAND,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,6,MALAYSIA,20,0,Prefer not to say,41
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,74,CHINA,24,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,74,MALAYSIA,20,0,Prefer not to say,34
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12,THAILAND,104,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,MALAYSIA,46,0,Prefer not to say,52
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,96,CANADA,67,0,Prefer not to say,27
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,38,UNITED STATES,80,0,Prefer not to say,35
EPX,Travel Agency,Online,Cancellation Plan,No,51,VIET NAM,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,15,JAPAN,26,0,Prefer not to say,28
EPX,Travel Agency,Online,Cancellation Plan,No,6,VIET NAM,29,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,8,JAPAN,31,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,68,CHINA,26,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,15,AUSTRALIA,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,31,INDIA,27,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,34,ITALY,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,74,SINGAPORE,40,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,55,"KOREA, REPUBLIC OF",23,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,2,SINGAPORE,10,0,Prefer not to say,29
EPX,Travel Agency,Online,Cancellation Plan,No,4,SINGAPORE,10,0,Prefer not to say,32
EPX,Travel Agency,Online,Cancellation Plan,No,17,THAILAND,13,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,Yes,14,INDIA,24,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,13,GHANA,80,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,4,SINGAPORE,26,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,49,NETHERLANDS,70,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,111,GERMANY,128,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,7,BANGLADESH,10,0,Prefer not to say,43
EPX,Travel Agency,Online,Cancellation Plan,No,2,HONG KONG,16,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,7,SINGAPORE,14,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,96,MALAYSIA,24,0,Prefer not to say,27
EPX,Travel Agency,Online,Cancellation Plan,No,19,THAILAND,22,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,20,CHINA,42,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,28,UNITED STATES,10,0,Prefer not to say,49
EPX,Travel Agency,Online,Cancellation Plan,No,87,IRELAND,12,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,40,MYANMAR,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,5,SINGAPORE,11,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,UNITED KINGDOM,78,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,3,"KOREA, REPUBLIC OF",22,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,73,SINGAPORE,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,INDIA,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,UNITED KINGDOM,78,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,102,INDONESIA,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,25,"KOREA, REPUBLIC OF",51,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,18,THAILAND,12,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,4,THAILAND,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,93,JAPAN,43,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,24,INDIA,55,0,Prefer not to say,30
EPX,Travel Agency,Online,Cancellation Plan,No,10,JAPAN,52,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,87,UNITED STATES,65,0,Prefer not to say,35
EPX,Travel Agency,Online,Cancellation Plan,No,67,CHINA,19,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,3,SINGAPORE,10,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,19,AUSTRALIA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,36,AUSTRALIA,36,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,1,SINGAPORE,20,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,14,ITALY,37,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,6,INDIA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,1,THAILAND,20,0,Prefer not to say,43
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,9,VIET NAM,20,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,12,NEPAL,43,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,4,PHILIPPINES,75,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,65,"KOREA, REPUBLIC OF",46,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,22,NEW ZEALAND,45,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,4,INDIA,31,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,13,INDIA,20,0,Prefer not to say,36
KML,Travel Agency,Online,Premier Plan,No,21,GERMANY,72,27.36,M,48
RAB,Airlines,Online,Value Plan,No,16,BRUNEI DARUSSALAM,23,9.2,F,51
SSI,Airlines,Online,Ticket Protector,No,94,SINGAPORE,9.33,2.62,Prefer not to say,48
SSI,Airlines,Online,Ticket Protector,No,32,SINGAPORE,1.54,0.43,Prefer not to say,48
SSI,Airlines,Online,Ticket Protector,No,25,SINGAPORE,7,1.96,Prefer not to say,48
SSI,Airlines,Online,Ticket Protector,No,10,SINGAPORE,5.92,1.66,Prefer not to say,48
SSI,Airlines,Online,Ticket Protector,No,3,SINGAPORE,8.49,2.38,Prefer not to say,48
JZI,Airlines,Online,Basic Plan,No,15,MALAYSIA,22,7.7,M,35
JZI,Airlines,Online,Basic Plan,No,11,THAILAND,22,7.7,F,36
JZI,Airlines,Online,Basic Plan,No,5,PHILIPPINES,18,6.3,M,34
JZI,Airlines,Online,Basic Plan,No,2,CHINA,22,7.7,M,31
JZI,Airlines,Online,Basic Plan,No,39,INDONESIA,18,6.3,F,48
JZI,Airlines,Online,Basic Plan,No,18,INDONESIA,30,10.5,F,38
JZI,Airlines,Online,Basic Plan,No,10,THAILAND,22,7.7,M,31
JZI,Airlines,Online,Basic Plan,No,34,HONG KONG,63,22.05,M,40
JZI,Airlines,Online,Basic Plan,No,26,CHINA,26,9.1,F,26
JZI,Airlines,Online,Basic Plan,No,8,AUSTRALIA,26,9.1,M,53
JZI,Airlines,Online,Value Plan,No,5,CHINA,45,15.75,M,42
JZI,Airlines,Online,Value Plan,No,9,CHINA,45,15.75,M,46
JZI,Airlines,Online,Value Plan,No,16,INDONESIA,26,9.1,M,40
JZI,Airlines,Online,Value Plan,No,5,JAPAN,36,12.6,M,45
JZI,Airlines,Online,Value Plan,No,105,JAPAN,36,12.6,M,25
ART,Airlines,Online,24 Protect,No,17,PHILIPPINES,14.39,5.04,F,48
C2B,Airlines,Online,Bronze Plan,No,10,SINGAPORE,22.1,5.53,M,39
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,53,MALAYSIA,29.7,17.82,Prefer not to say,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,11,MALAYSIA,29.7,17.82,Prefer not to say,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,16,MALAYSIA,29.7,17.82,Prefer not to say,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,30,"TAIWAN, PROVINCE OF CHINA",24,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,38,"KOREA, REPUBLIC OF",0,0,Prefer not to say,33
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,17,INDONESIA,36,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,61,THAILAND,21,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,21,PHILIPPINES,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,22,HONG KONG,68,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,33,THAILAND,20,0,Prefer not to say,30
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,58,SINGAPORE,85,0,Prefer not to say,30
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13,CHINA,40,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,THAILAND,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,38,HONG KONG,27,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,55,MALAYSIA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,23,CHINA,42,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,31,SWEDEN,112,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,80,SINGAPORE,97,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,70,INDONESIA,20,0,Prefer not to say,27
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,62,JAPAN,56,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,MALAYSIA,22,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,VIET NAM,20,0,Prefer not to say,32
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3,MALAYSIA,22,0,Prefer not to say,49
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,46,SINGAPORE,43,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18,PHILIPPINES,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,50,HONG KONG,21,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,JAPAN,48,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,66,JAPAN,62,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,109,INDIA,33,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,21,CHINA,50,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,16,VIET NAM,31,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,HONG KONG,60,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,7,THAILAND,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,6,THAILAND,20,0,Prefer not to say,50
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18,CHINA,58,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,21,PHILIPPINES,54,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,MALAYSIA,20,0,Prefer not to say,54
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,46,CHINA,32,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,32,INDONESIA,20,0,Prefer not to say,29
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,16,SINGAPORE,63,0,Prefer not to say,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,15,NEPAL,72,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,14,SINGAPORE,43,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13,VIET NAM,21,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13,THAILAND,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,29,THAILAND,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,73,CAMBODIA,45,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,THAILAND,29,0,Prefer not to say,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,20,CHINA,44,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,MALAYSIA,31,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,HONG KONG,36,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,15,AUSTRALIA,53,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,22,AUSTRALIA,59,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,16,MALAYSIA,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,17,PHILIPPINES,14,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,16,MALAYSIA,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,4,UNITED STATES,24,0,Prefer not to say,35
EPX,Travel Agency,Online,Cancellation Plan,No,3,VIET NAM,12,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,4,VIET NAM,0,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,23,VIET NAM,18,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,30,SRI LANKA,17,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,8,THAILAND,18,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,24,THAILAND,16,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,4,THAILAND,10,0,Prefer not to say,39
EPX,Travel Agency,Online,Cancellation Plan,No,20,LAO PEOPLE'S DEMOCRATIC REPUBLIC,23,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,65,GERMANY,45,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,5,UNITED STATES,80,0,Prefer not to say,28
EPX,Travel Agency,Online,Cancellation Plan,No,51,GERMANY,80,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,3,THAILAND,17,0,Prefer not to say,31
EPX,Travel Agency,Online,Cancellation Plan,No,9,MALAYSIA,10,0,Prefer not to say,37
EPX,Travel Agency,Online,Cancellation Plan,No,14,"TAIWAN, PROVINCE OF CHINA",47,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,31,UNITED KINGDOM,55,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,6,CHINA,32,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,28,VIET NAM,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,90,THAILAND,23,0,Prefer not to say,35
EPX,Travel Agency,Online,Cancellation Plan,No,18,PHILIPPINES,13,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,24,CHINA,0,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,46,AUSTRALIA,53,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,24,THAILAND,24,0,Prefer not to say,30
EPX,Travel Agency,Online,Cancellation Plan,No,93,NEPAL,11,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,26,JAPAN,26,0,Prefer not to say,28
EPX,Travel Agency,Online,Cancellation Plan,No,12,ITALY,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,34,NEPAL,17,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,10,THAILAND,17,0,Prefer not to say,35
EPX,Travel Agency,Online,Cancellation Plan,No,18,CHINA,29,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,6,UNITED STATES,10,0,Prefer not to say,43
EPX,Travel Agency,Online,Cancellation Plan,No,25,CHINA,29,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,50,UNITED KINGDOM,42,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,80,"KOREA, REPUBLIC OF",25,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,27,THAILAND,10,0,Prefer not to say,30
EPX,Travel Agency,Online,Cancellation Plan,No,45,PHILIPPINES,16,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,15,AUSTRALIA,11,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,79,SINGAPORE,71,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,20,PHILIPPINES,14,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,14,HONG KONG,38,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,13,"KOREA, REPUBLIC OF",13,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,6,MACAO,0,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,17,AUSTRALIA,28,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,82,UZBEKISTAN,43,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,82,"KOREA, REPUBLIC OF",46,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,20,SINGAPORE,0,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,22,INDONESIA,12,0,Prefer not to say,53
EPX,Travel Agency,Online,Cancellation Plan,No,24,UNITED STATES,80,0,Prefer not to say,48
EPX,Travel Agency,Online,Cancellation Plan,No,29,THAILAND,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,15,SINGAPORE,29,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,CHINA,29,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,11,INDIA,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,47,UNITED KINGDOM,61,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,40,CHINA,34,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,11,MALAYSIA,21,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,7,SINGAPORE,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,105,SINGAPORE,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,14,AUSTRALIA,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,16,INDIA,12,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,35,PHILIPPINES,10,0,Prefer not to say,49
EPX,Travel Agency,Online,Cancellation Plan,No,26,PHILIPPINES,11,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,5,VIET NAM,14,0,Prefer not to say,29
EPX,Travel Agency,Online,Cancellation Plan,No,68,SINGAPORE,13,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,114,THAILAND,29,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,16,UNITED KINGDOM,80,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,JAPAN,33,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,15,THAILAND,10,0,Prefer not to say,37
EPX,Travel Agency,Online,Cancellation Plan,No,8,SINGAPORE,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,56,UNITED STATES,15,0,Prefer not to say,52
EPX,Travel Agency,Online,Cancellation Plan,No,32,MALAYSIA,12,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,36,CHINA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,26,UNITED KINGDOM,62,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,26,UNITED KINGDOM,68,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,8,MALAYSIA,10,0,Prefer not to say,35
EPX,Travel Agency,Online,Cancellation Plan,No,2,SINGAPORE,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,44,INDONESIA,10,0,Prefer not to say,39
EPX,Travel Agency,Online,Cancellation Plan,No,36,HONG KONG,14,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,3,MYANMAR,24,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,9,THAILAND,12,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,9,SINGAPORE,26,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,4,PHILIPPINES,20,0,Prefer not to say,44
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,6,SINGAPORE,42,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,10,SINGAPORE,20,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,3,INDIA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,6,SINGAPORE,20,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,16,THAILAND,30,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,22,INDONESIA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,3,"KOREA, REPUBLIC OF",65,0,Prefer not to say,38
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,53,SINGAPORE,32,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,31,SINGAPORE,20,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,25,SINGAPORE,20,0,Prefer not to say,36
KML,Travel Agency,Online,Value Plan,No,22,INDONESIA,33,12.54,M,48
RAB,Airlines,Online,Value Plan,No,35,BRUNEI DARUSSALAM,15,6,M,44
RAB,Airlines,Online,Value Plan,No,3,BRUNEI DARUSSALAM,15,6,Prefer not to say,38
RAB,Airlines,Online,Value Plan,No,15,BRUNEI DARUSSALAM,31,12.4,M,37
SSI,Airlines,Online,Ticket Protector,No,57,SINGAPORE,20.64,5.79,Prefer not to say,48
SSI,Airlines,Online,Ticket Protector,No,14,SINGAPORE,7.21,2.02,Prefer not to say,48
JZI,Airlines,Online,Basic Plan,No,3,BRUNEI DARUSSALAM,18,6.3,M,48
JZI,Airlines,Online,Basic Plan,No,63,"KOREA, REPUBLIC OF",35,12.25,M,29
JZI,Airlines,Online,Basic Plan,No,8,INDONESIA,22,7.7,F,42
JZI,Airlines,Online,Basic Plan,No,9,"TAIWAN, PROVINCE OF CHINA",26,9.1,M,33
JZI,Airlines,Online,Basic Plan,No,2,THAILAND,18,6.3,M,28
JZI,Airlines,Online,Basic Plan,No,40,AUSTRALIA,40,14,M,36
JZI,Airlines,Online,Basic Plan,No,24,INDONESIA,33,11.55,F,41
JZI,Airlines,Online,Basic Plan,No,9,MYANMAR,22,7.7,M,51
JZI,Airlines,Online,Basic Plan,No,18,HONG KONG,26,9.1,M,25
JZI,Airlines,Online,Basic Plan,No,15,MALAYSIA,18,6.3,M,52
JZI,Airlines,Online,Basic Plan,No,17,MALAYSIA,22,7.7,F,43
JZI,Airlines,Online,Basic Plan,No,2,INDIA,22,7.7,M,53
JZI,Airlines,Online,Basic Plan,No,77,"KOREA, REPUBLIC OF",35,12.25,M,50
JZI,Airlines,Online,Basic Plan,No,7,INDONESIA,22,7.7,M,53
JZI,Airlines,Online,Basic Plan,No,40,THAILAND,22,7.7,M,42
JZI,Airlines,Online,Basic Plan,No,17,THAILAND,18,6.3,M,43
JZI,Airlines,Online,Value Plan,No,16,INDIA,69,24.15,M,48
JZI,Airlines,Online,Value Plan,No,65,JAPAN,58,20.3,F,42
C2B,Airlines,Online,Bronze Plan,No,8,SINGAPORE,17.55,4.39,F,39
C2B,Airlines,Online,Silver Plan,No,6,SINGAPORE,24.05,6.01,M,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,12,SPAIN,9.9,5.94,Prefer not to say,26
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,51,MALAYSIA,19.8,11.88,Prefer not to say,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,16,UNITED STATES,9.9,5.94,Prefer not to say,41
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,4,AUSTRALIA,9.9,5.94,Prefer not to say,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,7,MALAYSIA,29.7,17.82,Prefer not to say,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,3,THAILAND,9.9,5.94,Prefer not to say,52
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,66,PHILIPPINES,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,11,THAILAND,20,0,Prefer not to say,37
